PAGE URL,h1_element,Bild
https://printexpress.pl/en/product/womens-sweatshirt-kangaroo-cape-malfini/,"Women's sweatshirt, kangaroo, Cape Malfini - 414",https://printexpress.pl/wp-content/uploads/2024/06/414_16_A_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowna.jpg
https://printexpress.pl/en/product/mens-sweatshirt-kangaroo-cape-malfini/,"Men's sweatshirt, kangaroo Cape Malfini - 413",https://printexpress.pl/wp-content/uploads/2024/06/413_16_A_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowne.jpg
https://printexpress.pl/en/product/childrens-classic-sweatshirt-stanleystella-mini-changer-2-0/,Children's classic sweatshirt Stanley&Stella Mini Changer 2.0 - STSK181,https://printexpress.pl/wp-content/uploads/2024/07/Mini-Changer-2.0-_-Kids-premium-sweatshirt-_-Stanley_Stella-glowne.jpg
https://printexpress.pl/en/product/cotton-bag-gymsac/,Cotton bag Gymsac - W110,https://printexpress.pl/wp-content/uploads/2024/07/WM110_Sapphire-Blue_glowne.jpg
https://printexpress.pl/en/product/womens-classic-sweatshirt-stanleystella-dazzler/,Women's classic sweatshirt Stanley&Stella Dazzler - STSW125,https://printexpress.pl/wp-content/uploads/2024/07/glowne-Stella-Dazzler.jpg
https://printexpress.pl/en/product/classic-unisex-sweatshirt-stanleystella-changer-2-0/,Classic unisex sweatshirt Stanley&Stella Changer 2.0 - STSU178,https://printexpress.pl/wp-content/uploads/2024/07/Changer-2.0-_-Blank-Unisex-sweatshirt-_-Stanley_Stella-glowne.jpg
https://printexpress.pl/en/product/childrens-unzipped-sweatshirt-stanleystella-mini-cultivator-2-0/,Children's unzipped sweatshirt Stanley&Stella Mini Cultivator 2.0 - STSK182,https://printexpress.pl/wp-content/uploads/2024/07/Mini-Cultivator-2.0-_-Kids-zip-thru-hoodie-_-Stanley_Stella-glowne.jpg
https://printexpress.pl/en/product/unisex-unzipped-sweatshirt-stanleystella-cultivator-2-0/,Unisex unzipped sweatshirt Stanley&Stella Cultivator 2.0 - STSU179,https://printexpress.pl/wp-content/uploads/2024/07/Cultivator-2.0-_-Unisex-zip-thru-hoodie-_-Stanley_Stella-glowne.jpg
https://printexpress.pl/en/product/mens-softshell-jacket/,Men's Softshell Jacket Russell - Z140,https://printexpress.pl/wp-content/uploads/2024/04/Z140_Black-glowne.jpg
https://printexpress.pl/en/product/unisex-kangaroo-sweatshirt-stanleystella-cruiser-2-0/,Unisex kangaroo sweatshirt Stanley&Stella Cruiser 2.0 - STSU177,https://printexpress.pl/wp-content/uploads/2024/07/Cruiser-2.0-_-Premium-blank-Unisex-hoodie-_-Stanley_Stella-glowne.jpg
https://printexpress.pl/en/product/childrens-sweatshirt-stanleystella-mini-cruiser-2-0/,Children's sweatshirt Stanley&Stella Mini Cruiser 2.0 - STSK180,https://printexpress.pl/wp-content/uploads/2024/07/Mini-Cruiser-2.0-_-Kids-hoodie-sweatshirt-_-Stanley_Stella-glowne.jpg
https://printexpress.pl/en/product/childrens-t-shirt-heavy-cotton-gildan/,Children's T-shirt Heavy Cotton Gildan - 5100P,https://printexpress.pl/wp-content/uploads/2024/06/G5100P_Light-Pink-glowne.jpg
https://printexpress.pl/en/product/womens-softshell-jacket/,Women's Softshell Jacket Russell - Z140F,https://printexpress.pl/wp-content/uploads/2024/04/Z140F_Classic-Red-glowne.jpg
https://printexpress.pl/en/product/t-shirt-heavy-cotton-youth-gildan/,T-shirt Heavy Cotton Youth Gildan - 5000B,https://printexpress.pl/wp-content/uploads/2024/06/G5000K_Lime-glowne.jpg
https://printexpress.pl/en/product/mens-jersey-big-tank-top/,Men's Jersey Big Tank Top Build Your Brand - BY003,https://printexpress.pl/wp-content/uploads/2024/04/BY003_Charcoal-Heather-glowne.jpg
https://printexpress.pl/en/product/cotton-backpack-easygo-malfini/,Cotton backpack Easygo Malfini - 922,https://printexpress.pl/wp-content/uploads/2024/06/922_07_A_preview_maxWidth_540_maxHeight_540_ppi_100_quality_100-glowne.jpg
https://printexpress.pl/en/product/womens-t-shirt-heavy-cotton-gildan/,Women's T-shirt Heavy Cotton Gildan - 5000L,https://printexpress.pl/wp-content/uploads/2024/06/G5000L_Daisy-glowne.jpg
https://printexpress.pl/en/product/mens-t-shirt-heavy-cotton-gildan/,Men's T-shirt Heavy Cotton Gildan - 5000,https://printexpress.pl/wp-content/uploads/2024/06/G5000_Lime-glowne.jpg
